"Popolazione per età, vista per singola area - Comune: 099028 - Poggio Torriana"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Poggio Torriana"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;41;51;38;46;47;59;41;63;52;60;52;64;46;48;48;45;33;48
1;39;38;50;45;48;46;57;43;66;50;58;53;59;49;48;49;42;36
2;51;40;39;54;45;51;47;56;46;70;53;60;59;57;48;46;51;49
3;29;52;43;44;55;45;51;47;59;50;71;54;63;61;56;48;46;53
4;45;30;52;44;45;60;42;53;48;60;50;75;56;62;56;55;53;48
5;44;43;31;52;44;45;57;44;53;50;62;48;73;52;58;58;55;54
6;25;48;44;38;52;52;44;56;43;52;54;63;48;73;51;64;56;49
7;33;26;50;45;38;53;52;47;59;46;51;57;59;48;72;54;65;54
8;44;35;27;51;46;41;51;52;47;59;47;51;60;58;48;74;57;65
9;32;50;33;28;54;46;41;55;56;48;60;46;51;58;56;46;72;56
10;42;33;48;37;29;54;44;45;58;55;49;59;47;53;58;56;48;71
11;57;42;31;50;40;27;56;45;42;55;56;51;56;48;56;54;57;48
12;52;57;42;32;52;40;26;53;46;43;55;56;52;55;46;55;51;53
13;32;54;56;45;33;54;41;28;54;46;42;54;55;50;54;48;56;50
14;40;33;53;59;44;31;54;43;28;53;46;44;57;52;49;56;46;55
15;39;42;33;53;63;42;32;50;43;29;52;45;41;54;53;55;58;46
16;41;40;44;36;55;60;42;35;52;42;29;51;45;42;54;50;57;58
17;54;41;39;47;38;51;60;44;37;51;40;28;51;42;42;54;50;53
18;50;60;42;39;51;39;54;61;50;38;53;38;30;49;40;41;54;48
19;43;50;59;47;39;50;38;54;64;52;40;55;38;30;53;46;43;55
20;35;43;52;63;46;41;50;37;59;64;49;40;58;39;29;53;42;44
21;51;36;49;50;59;53;43;48;40;56;68;54;40;58;39;30;58;45
22;39;53;35;51;49;56;49;44;48;37;51;67;53;38;53;40;32;56
23;53;37;58;40;51;52;57;53;44;50;32;46;66;49;44;55;41;30
24;42;54;40;61;45;52;50;60;55;43;51;29;43;70;50;43;54;43
25;47;38;54;45;60;47;52;51;60;54;45;53;27;44;71;53;49;54
26;65;55;43;55;53;62;51;57;59;62;61;48;59;29;39;74;53;50
27;55;72;54;47;58;56;66;51;66;63;61;61;49;64;32;41;73;55
28;68;58;76;55;57;60;57;63;57;68;60;62;64;48;61;35;45;72
29;59;71;60;81;62;62;69;55;70;54;67;63;70;60;44;58;40;55
30;78;56;77;62;92;73;69;77;59;79;51;70;63;71;57;50;58;48
31;69;80;60;85;75;99;73;74;82;58;73;55;69;65;77;57;50;59
32;67;65;77;64;87;77;97;76;81;83;52;69;58;71;67;74;61;50
33;82;77;65;79;75;88;80;97;88;74;82;59;75;64;72;67;70;60
34;63;88;69;67;82;75;86;80;101;85;69;81;61;77;69;73;66;71
35;87;52;88;71;76;84;74;85;82;96;79;71;82;62;77;73;73;63
36;84;90;55;93;73;79;88;74;90;85;90;80;65;84;62;79;73;75
37;83;79;93;59;95;76;78;88;73;90;84;90;80;68;85;62;72;78
38;83;82;79;97;64;95;78;84;91;76;91;83;95;78;70;84;64;71
39;59;83;80;85;99;68;96;88;85;91;77;93;83;89;77;72;83;64
40;70;64;83;85;89;97;71;96;86;87;94;77;95;84;89;76;74;82
41;84;73;68;83;85;85;100;70;97;88;83;92;79;100;85;88;75;80
42;64;80;73;68;79;82;87;102;74;95;92;84;97;86;102;87;84;77
43;76;65;80;73;70;80;85;88;107;71;97;92;84;91;83;101;86;78
44;67;78;64;85;76;69;81;86;93;101;70;97;92;81;84;82;100;89
45;77;71;77;62;88;74;71;86;89;90;101;69;98;87;84;88;82;96
46;62;82;71;77;64;88;77;73;88;86;89;102;65;101;86;85;91;84
47;76;61;81;72;76;65;84;79;76;92;86;89;100;69;101;85;87;92
48;46;76;62;82;72;77;68;86;76;74;91;86;89;106;70;101;87;87
49;44;46;81;64;88;74;77;69;93;77;70;93;85;87;107;72;99;85
50;49;43;48;82;62;86;75;75;72;90;78;71;94;84;86;104;72;101
51;66;50;42;51;82;64;87;78;76;73;92;82;76;92;85;87;101;74
52;46;63;48;41;54;85;64;85;78;75;73;93;83;74;87;92;84;103
53;59;44;64;52;43;55;85;60;87;73;79;72;95;84;74;89;94;79
54;44;59;47;65;54;41;55;84;63;86;69;80;71;93;81;71;86;91
55;46;43;59;48;66;53;41;55;83;63;85;68;81;70;92;81;69;86
56;43;46;46;63;47;65;51;44;54;83;61;84;72;80;70;91;82;71
57;50;43;46;49;64;49;63;53;48;50;82;62;88;71;75;71;88;81
58;39;50;43;46;51;66;51;68;52;49;50;79;65;86;72;74;67;88
59;40;42;50;44;46;54;66;52;69;52;50;51;83;64;84;75;76;67
60;40;40;41;50;43;47;55;66;54;71;54;51;52;83;66;81;74;77
61;40;40;40;42;50;44;50;57;66;54;70;56;51;50;83;68;78;78
62;46;41;39;42;40;50;44;50;61;66;54;69;57;51;54;81;66;78
63;46;46;38;40;42;36;48;46;51;59;67;51;69;56;52;54;78;66
64;38;47;47;39;37;42;37;46;43;50;59;65;51;68;55;51;54;75
65;40;36;45;47;40;36;41;36;49;43;50;60;59;50;67;55;51;54
66;39;39;39;45;47;41;36;42;35;49;41;51;60;59;48;68;55;51
67;38;35;38;38;44;47;39;36;45;34;48;43;49;62;58;48;67;57
68;34;38;35;38;37;43;47;37;39;45;33;48;39;47;60;57;49;68
69;39;34;38;35;37;39;43;46;37;40;45;33;46;38;46;59;58;49
70;40;40;34;39;35;37;38;43;45;35;40;43;31;43;38;46;55;59
71;37;39;40;32;40;34;36;36;45;45;32;38;40;31;43;39;43;54
72;38;35;37;37;28;40;34;36;36;45;46;31;37;38;31;43;36;43
73;35;38;33;36;37;28;40;34;36;36;44;43;29;39;37;33;43;37
74;24;33;37;34;35;38;28;38;33;36;35;44;42;28;39;37;33;44
75;37;24;32;38;33;35;37;29;36;31;36;33;39;41;26;38;36;33
76;30;37;22;32;37;33;35;36;26;36;31;36;34;38;42;25;37;33
77;17;30;36;20;33;36;35;34;36;25;36;30;35;35;37;42;27;38
78;24;17;28;35;18;33;35;33;34;35;23;34;24;35;34;37;43;27
79;24;22;16;26;32;18;31;34;31;32;34;23;32;25;34;34;36;41
80;17;22;22;16;23;33;19;27;34;29;30;30;22;31;23;32;32;37
81;23;16;21;19;10;22;31;19;25;32;27;28;29;19;30;22;29;30
82;12;22;16;22;18;9;22;29;18;24;28;26;27;25;19;27;21;31
83;11;13;19;17;21;16;8;19;29;15;24;28;22;23;25;19;25;22
84;6;7;10;19;14;21;16;7;21;26;12;22;27;21;22;24;16;24
85;7;6;4;8;18;16;19;12;9;21;22;12;19;27;20;19;21;14
86;7;5;4;2;6;17;11;17;13;9;19;17;13;15;23;18;18;19
87;10;6;3;5;2;6;17;11;10;14;8;16;14;12;15;19;15;17
88;7;10;9;3;5;2;5;7;8;8;13;8;17;11;12;12;18;14
89;6;6;8;10;3;5;2;5;8;7;8;10;7;13;11;11;11;17
90;5;4;4;7;8;3;4;2;4;6;4;8;10;6;13;9;6;10
91;4;5;6;3;7;6;2;3;1;4;4;4;9;9;5;11;7;6
92;5;4;4;5;3;4;4;2;3;1;3;4;4;7;8;5;9;5
93;5;5;2;3;4;1;4;2;2;2;1;3;4;3;6;7;4;7
94;2;3;4;2;2;2;2;2;2;1;1;0;3;2;3;5;7;2
95;1;2;2;3;2;1;0;1;3;2;1;1;0;3;2;3;2;6
96;0;1;1;2;2;2;1;0;2;2;2;1;1;0;2;1;1;2
97;0;0;0;1;2;0;1;0;0;0;1;2;1;1;0;1;1;0
98;3;0;0;0;1;1;0;1;0;0;0;0;2;0;1;0;1;2
99;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
100 e oltre;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1
Totale;4088;4163;4206;4386;4528;4634;4689;4786;4985;5002;4991;5051;5105;5105;5109;5170;5156;5211
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;17;24;19;20;21;31;21;36;25;27;25;27;26;27;26;25;23;28
1;20;15;25;20;23;23;29;22;38;25;24;27;25;28;26;30;23;25
2;31;20;16;25;19;26;24;27;22;41;27;24;30;21;26;25;30;27
3;19;31;23;15;25;18;25;24;29;25;40;28;25;32;19;27;26;33
4;21;19;31;24;14;26;18;24;24;31;25;40;28;28;27;20;31;27
5;24;20;20;31;25;16;26;17;26;27;33;24;39;26;28;26;22;32
6;15;25;22;24;32;29;16;28;18;25;30;33;23;39;24;30;26;18
7;21;16;27;23;24;33;30;18;29;19;25;33;30;23;41;25;32;25
8;17;22;16;28;24;28;33;31;20;29;20;26;34;29;23;42;27;31
9;14;21;20;15;30;24;26;36;32;20;31;19;26;31;26;20;41;27
10;16;15;20;22;15;30;22;27;39;32;20;31;19;27;30;25;20;39
11;31;17;14;19;23;14;34;23;25;36;32;21;30;20;27;26;26;21
12;19;32;17;14;22;23;14;32;23;24;37;33;22;31;20;27;24;25
13;15;21;31;16;15;23;23;16;32;22;23;36;32;20;30;20;28;23
14;23;16;21;32;15;13;24;26;17;31;22;24;37;30;20;30;19;28
15;19;21;16;22;34;15;13;22;27;18;29;22;23;34;31;24;30;19
16;22;21;21;19;23;31;15;14;23;27;18;29;22;23;35;29;24;30
17;30;21;20;21;19;20;31;14;13;23;25;17;30;20;24;36;28;22
18;23;32;21;21;23;20;20;31;17;14;24;24;19;28;18;22;37;28
19;21;22;31;23;21;21;19;21;32;20;16;25;23;19;29;23;22;36
20;22;20;24;35;21;23;21;19;24;33;22;14;25;24;18;30;22;23
21;30;22;23;22;32;23;26;20;17;24;34;25;14;25;23;20;31;24
22;15;33;23;24;23;29;22;26;24;16;22;33;23;14;24;23;20;30
23;25;14;38;25;25;25;30;23;24;25;13;19;32;19;17;25;22;20
