"Popolazione per età, vista per singola area - Comune: 103012 - Bognanco"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Bognanco"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1;1;2;3;0;0;0;0;3;3;1;1;1;0;0;1;0;1
1;1;1;1;1;3;0;0;0;0;2;2;1;2;1;0;0;1;0
2;0;2;1;1;1;3;0;0;0;0;2;3;0;2;2;0;0;1
3;1;0;2;1;1;1;3;0;0;1;0;1;3;0;2;1;0;0
4;3;1;0;2;1;1;1;3;0;0;1;0;1;3;0;1;1;0
5;0;2;2;0;2;1;2;1;3;0;0;2;0;1;3;0;2;1
6;3;0;2;2;0;2;1;2;1;3;0;0;2;0;2;2;0;2
7;1;3;0;1;2;0;2;1;1;1;3;0;0;2;0;2;4;0
8;1;1;3;0;1;2;0;2;1;1;1;3;1;0;2;0;1;4
9;1;1;1;4;0;1;2;0;2;1;0;1;3;1;0;2;0;1
10;3;1;1;1;5;0;1;2;0;2;1;1;1;3;1;0;2;0
11;2;3;2;1;1;4;0;1;2;0;3;1;2;1;3;1;0;2
12;3;1;3;1;1;1;4;0;1;1;0;3;1;2;1;2;1;0
13;3;3;1;3;1;1;1;4;0;1;1;0;3;1;2;1;1;0
14;2;2;2;1;3;1;1;1;4;0;1;1;0;3;1;2;1;1
15;1;1;3;2;1;3;1;1;1;3;0;1;0;0;3;1;1;1
16;2;1;1;3;2;1;3;1;1;1;3;0;1;0;0;2;1;0
17;1;2;1;1;3;3;1;3;1;1;1;3;0;1;0;0;2;1
18;2;1;2;1;1;3;3;1;3;1;1;1;2;0;1;0;0;1
19;2;2;1;2;1;1;3;3;1;3;1;1;1;2;0;1;0;0
20;0;2;2;1;2;1;1;3;3;1;3;1;1;1;2;0;1;0
21;2;0;2;3;1;2;1;2;3;3;1;3;1;1;1;2;0;1
22;5;1;1;2;3;1;3;1;3;3;3;1;3;1;1;1;2;0
23;1;5;2;1;2;1;1;3;2;2;4;3;1;3;1;1;1;2
24;5;1;5;2;2;2;2;1;3;2;2;2;3;1;3;1;1;1
25;3;6;3;5;2;3;2;2;1;3;1;1;2;3;1;3;1;0
26;8;3;6;3;4;2;4;1;2;1;2;1;1;1;3;0;2;1
27;1;7;2;5;3;5;3;4;2;2;1;2;1;1;1;2;0;2
28;4;1;7;1;5;1;4;3;3;2;2;1;2;1;1;1;2;0
29;1;2;1;6;1;5;3;4;4;2;1;1;1;3;1;1;1;2
30;4;1;2;4;6;3;6;3;4;3;0;1;1;1;4;1;1;0
31;3;3;2;2;3;5;3;3;2;4;3;0;1;1;1;3;1;1
32;4;3;2;1;2;1;4;4;3;1;3;2;1;1;1;1;3;1
33;5;4;3;3;2;2;1;4;3;3;1;3;2;1;1;0;1;3
