"Popolazione per età, vista per singola area - Comune: 103051 - Ornavasso"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Ornavasso"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;35;36;36;27;25;39;23;22;38;32;41;32;31;26;26;32;28;22
1;29;35;35;37;28;24;37;26;23;37;33;42;31;33;26;27;31;29
2;32;31;34;34;37;30;22;38;24;24;36;32;39;33;34;27;28;30
3;28;33;32;27;32;37;33;21;38;22;26;34;33;39;34;33;25;29
4;31;30;33;32;27;33;34;36;25;39;22;28;32;33;38;33;33;27
5;19;31;30;32;31;25;30;34;35;25;39;24;27;33;33;38;29;32
6;25;19;29;28;31;29;26;36;36;34;25;37;26;26;31;34;36;30
7;20;23;19;29;28;29;29;28;36;36;34;28;36;25;26;32;33;36
8;29;21;22;17;30;26;30;32;28;36;36;33;29;39;24;26;32;37
9;22;30;22;22;18;28;26;32;35;28;36;36;36;30;38;25;25;32
10;26;24;30;24;24;18;27;28;32;33;30;35;37;34;30;35;22;27
11;31;26;24;31;24;25;19;28;32;32;33;30;37;38;32;31;33;22
12;22;32;26;26;31;24;25;20;29;29;31;32;33;36;38;34;29;33
13;26;24;34;27;26;31;24;26;23;29;31;30;33;34;36;38;36;28
14;25;26;24;32;28;26;32;25;28;22;29;29;31;34;32;37;38;37
15;24;24;27;24;30;29;26;30;25;30;22;30;30;33;34;32;37;37
16;19;29;24;27;24;30;28;27;32;25;29;22;31;34;32;36;32;37
17;30;20;29;22;28;25;28;31;28;29;25;31;21;31;34;31;35;31
18;26;30;20;30;23;30;26;28;32;29;27;23;32;21;29;33;31;36
19;26;27;29;21;32;25;31;26;30;32;31;27;25;33;22;29;35;29
20;34;28;28;29;20;30;28;31;26;31;30;26;29;24;33;23;29;34
21;31;34;28;31;31;22;31;28;32;28;28;33;23;33;24;32;22;29
22;40;28;40;28;31;34;24;30;25;33;27;28;35;22;34;21;33;25
23;36;42;29;36;27;33;33;27;30;25;33;29;33;32;24;32;23;32
24;50;33;40;28;36;25;35;31;26;28;25;36;26;35;32;24;32;20
25;48;57;33;39;28;31;27;40;31;26;30;26;35;28;28;33;26;30
26;41;46;58;37;40;29;31;28;39;34;26;32;27;35;25;25;28;26
27;47;37;46;49;41;39;31;31;24;39;35;25;30;30;39;32;24;26
28;44;46;42;46;44;39;47;32;34;27;34;32;27;29;34;35;29;28
29;57;44;44;44;44;44;41;50;33;33;28;31;36;26;31;39;35;29
30;74;54;44;42;46;45;45;44;46;35;31;27;32;43;31;31;35;37
31;47;71;56;48;44;49;47;52;45;43;38;31;22;34;45;29;33;35
32;52;52;66;63;51;46;48;52;59;46;43;39;33;27;32;43;31;39
33;67;54;48;65;65;48;42;46;51;62;45;43;40;36;33;31;40;32
34;65;67;52;49;63;60;46;40;47;49;65;48;47;38;38;37;33;40
35;52;60;67;55;49;63;56;54;46;47;50;66;49;44;41;41;35;36
36;56;57;59;73;54;51;62;59;56;48;46;50;66;49;47;46;39;34
37;41;54;56;58;68;56;53;64;64;56;45;48;52;65;52;46;40;42
38;40;46;57;57;57;69;57;54;70;67;56;46;52;53;61;52;48;43
39;44;41;44;58;59;53;70;63;53;70;71;61;48;51;49;62;50;48
40;51;43;39;43;55;59;54;71;68;51;69;71;59;48;48;52;60;47
41;49;52;44;43;40;52;60;57;72;65;51;69;70;63;49;49;52;64
42;63;48;51;49;41;43;53;58;57;75;69;53;69;66;59;47;51;54
43;33;64;46;53;52;41;42;56;57;58;75;64;56;72;68;61;44;52
44;52;34;64;45;49;54;45;46;56;55;60;74;65;56;70;71;61;47
45;32;51;34;58;42;50;53;45;44;56;56;62;72;61;56;70;72;60
46;42;33;50;31;55;47;51;54;46;44;58;57;62;70;59;52;70;70
47;40;43;32;49;34;55;47;54;51;48;44;59;59;60;72;63;55;67
48;33;42;40;31;52;33;57;50;52;52;50;45;62;59;57;72;64;55
49;41;31;41;41;30;54;33;57;53;54;52;50;45;61;59;59;71;58
50;32;42;29;40;40;30;51;35;52;53;56;52;50;44;60;60;59;72
51;50;31;43;28;41;40;30;52;39;52;53;57;53;47;44;58;59;60
