"Popolazione per età, vista per singola area - Comune: 103053 - Piedimulera"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Piedimulera"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;14;17;12;19;12;12;10;16;10;10;6;10;7;10;14;6;4;9
1;17;14;17;13;17;12;13;5;17;8;8;4;12;8;9;13;7;4
2;8;17;16;15;8;17;12;14;6;17;10;10;5;11;6;9;14;5
3;13;9;17;16;16;8;17;12;15;6;17;10;14;4;10;6;8;13
4;21;12;12;16;16;15;8;17;13;14;6;16;10;14;4;11;7;8
5;14;19;11;9;16;14;15;8;16;14;14;6;16;10;13;4;13;7
6;9;13;20;12;10;14;14;15;8;15;13;15;7;16;10;13;4;14
7;6;10;10;16;11;10;14;12;14;11;16;13;15;8;15;10;13;6
8;12;5;10;11;15;11;9;13;12;14;11;16;13;15;8;16;10;12
9;10;13;5;11;11;15;11;10;12;10;14;11;14;14;15;8;15;11
10;13;12;13;5;11;11;15;11;9;11;10;14;12;14;12;17;8;15
11;12;14;11;12;5;12;9;17;11;8;11;11;13;12;15;13;16;8
12;14;12;13;11;11;5;11;10;17;11;7;10;11;13;10;15;13;15
13;19;14;12;13;11;11;9;9;11;17;11;6;10;12;11;9;17;11
14;14;17;14;13;13;11;12;9;7;12;17;9;6;11;11;11;10;18
15;11;14;17;14;12;13;11;10;10;7;11;16;10;6;13;12;11;12
16;16;11;14;20;13;13;13;11;10;10;7;11;16;12;8;14;12;12
17;8;16;11;15;23;13;14;14;11;11;10;7;11;16;10;8;14;11
18;16;7;11;11;15;23;12;18;15;11;10;10;9;11;15;10;9;15
19;14;16;7;12;12;15;22;13;17;15;12;11;13;9;10;16;11;10
20;14;13;17;6;13;11;15;21;13;15;14;12;11;13;7;9;14;11
21;19;15;14;15;7;13;10;15;20;12;15;17;12;8;14;9;13;15
22;16;22;15;16;15;9;14;12;14;21;13;15;17;11;8;14;8;12
23;12;16;21;13;15;13;9;14;14;13;21;13;15;18;11;8;17;6
24;18;11;14;20;16;13;16;9;10;13;13;23;13;12;19;12;12;14
25;38;19;12;15;19;17;13;17;9;12;13;13;26;13;12;19;13;13
26;32;37;23;12;14;20;17;17;19;9;14;13;15;25;14;10;17;14
27;29;32;37;26;12;14;20;18;18;17;9;11;12;17;27;13;8;17
28;32;26;35;42;22;12;10;25;22;15;18;8;14;13;12;25;14;10
29;22;31;25;36;41;26;14;13;23;18;14;16;8;14;13;13;21;13
