"Popolazione per età, vista per singola area - Comune: 108002 - Aicurzio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Aicurzio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;18;21;19;23;25;15;20;25;25;21;16;16;20;17;19;13;22;12
1;16;18;22;17;23;26;15;19;17;21;21;18;17;16;15;19;12;21
2;17;16;18;20;17;23;26;14;21;18;21;18;16;18;16;15;17;13
3;29;17;17;16;18;16;24;26;13;19;19;16;17;15;18;19;16;17
4;13;28;17;17;13;20;18;24;26;14;21;22;16;17;17;18;18;17
5;20;13;26;19;21;15;20;19;23;25;11;20;18;15;14;16;20;16
6;14;20;14;26;20;19;17;20;18;21;25;13;19;18;14;14;16;20
7;21;14;18;15;25;18;18;18;19;16;21;24;15;20;19;14;13;15
8;15;23;16;17;17;25;18;19;18;21;15;21;25;15;19;19;13;13
9;13;14;21;15;18;16;25;18;18;20;20;15;22;24;15;19;19;15
10;21;13;14;21;14;17;17;27;18;18;21;19;16;22;24;18;22;19
11;22;21;14;13;21;15;18;15;26;16;18;21;18;17;22;24;15;20
12;18;23;22;13;12;20;17;17;15;24;16;19;24;20;16;21;24;14
13;18;17;24;20;14;14;19;17;17;18;26;15;18;23;22;16;19;25
14;19;19;17;25;21;13;14;20;17;17;18;26;16;20;22;22;16;19
15;9;19;19;17;26;20;13;14;20;17;20;17;26;17;20;21;22;18
16;16;9;19;23;17;26;21;13;14;20;17;19;17;26;18;18;21;22
17;16;16;9;18;22;19;25;20;13;15;19;16;20;16;30;18;19;22
18;15;14;17;8;18;21;19;23;21;14;15;22;16;20;16;27;18;18
19;20;15;14;18;9;19;21;20;23;20;16;14;19;16;20;18;30;21
20;18;18;16;14;18;11;19;25;21;22;20;16;15;18;17;19;16;30
21;25;18;19;15;15;19;13;19;26;20;23;20;17;16;20;19;23;17
22;23;22;19;18;18;15;21;14;20;24;24;22;19;17;16;20;20;24
23;26;23;22;19;20;20;16;22;13;21;24;20;20;21;18;19;22;19
24;22;25;23;23;18;24;19;14;19;17;23;22;16;23;22;19;21;23
25;34;24;21;27;22;23;26;20;14;20;16;21;20;12;24;23;18;24
26;34;33;23;21;24;25;27;25;19;19;21;15;20;19;15;22;24;17
27;39;36;34;25;21;23;23;25;22;23;21;23;15;22;18;14;28;23
28;28;40;35;35;31;23;25;26;28;23;22;23;26;17;22;18;16;28
29;22;26;40;38;36;31;24;23;26;26;26;18;17;28;21;24;17;13
30;31;21;26;40;44;41;27;25;22;24;27;20;16;19;24;23;24;16
31;36;32;23;27;42;43;39;26;20;18;29;26;17;18;17;22;23;25
32;39;39;34;22;27;44;44;40;28;25;23;32;26;16;19;19;24;23
33;40;39;40;32;23;32;45;37;39;31;22;25;35;24;17;20;21;27
34;33;38;37;40;37;30;32;37;32;37;26;24;21;33;26;19;20;26
35;39;35;40;39;40;43;32;31;38;30;39;27;31;21;32;24;19;19
36;28;40;36;42;35;39;41;28;31;37;33;39;28;26;21;28;22;16
37;49;28;38;32;44;37;40;34;29;31;38;32;42;29;25;21;30;20
38;30;49;29;38;35;41;37;41;33;30;33;36;37;40;30;26;24;30
39;35;33;45;31;35;34;46;39;39;33;31;34;36;41;40;27;27;26
40;21;36;35;45;30;38;35;43;42;37;32;30;33;36;41;43;27;28
41;27;22;36;34;47;31;35;30;43;38;38;33;29;31;37;41;42;30
42;28;25;22;40;35;48;29;37;32;44;42;39;30;30;33;36;43;41
43;25;28;28;21;41;33;46;26;36;29;44;45;41;29;32;34;34;42
44;27;25;28;29;22;41;32;45;27;36;28;45;44;41;30;31;34;32
45;31;27;24;30;28;20;40;33;44;27;34;29;43;45;45;32;31;34
46;26;31;28;25;31;27;21;40;30;45;28;34;30;42;44;42;32;32
47;36;26;30;28;25;31;27;21;40;30;42;28;36;29;42;43;42;31
48;24;38;26;31;29;24;29;27;22;41;30;41;29;38;31;39;43;42
49;33;23;40;28;28;28;24;30;28;22;41;30;41;29;37;32;38;43
50;31;34;24;37;29;27;27;26;32;27;22;41;29;41;31;41;32;38
51;30;30;35;24;37;26;26;28;26;30;28;22;41;29;41;32;40;29
52;28;30;30;35;24;37;27;26;29;26;28;29;21;39;31;40;32;40
53;35;27;30;30;37;25;36;27;26;29;27;30;28;21;38;29;40;27
54;33;36;27;30;31;35;25;36;29;25;28;27;31;30;22;38;30;39
55;40;32;34;27;29;29;35;24;35;28;27;27;26;31;28;22;38;29
56;22;41;30;34;27;30;26;33;24;36;27;26;27;29;30;28;20;35
57;21;22;39;29;34;28;29;25;33;22;37;27;26;27;28;30;29;21
58;21;21;22;40;30;34;27;27;24;33;24;37;26;28;28;28;30;29
59;23;20;21;21;41;30;34;27;29;23;31;25;39;29;29;30;28;28
