"Popolazione per età, vista per singola area - Comune: 109010 - Magliano di Tenna"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Magliano di Tenna"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;9;3;15;18;9;9;15;25;15;13;10;16;21;13;19;7;14;10
1;11;10;3;15;16;10;10;15;25;16;13;12;14;18;13;19;7;14
2;13;11;10;5;15;17;11;12;16;24;17;12;13;15;19;12;19;6
3;12;14;12;12;6;15;17;11;12;16;23;16;10;14;15;18;12;15
4;9;12;14;14;12;5;15;19;11;14;15;25;14;10;14;14;20;12
5;15;10;13;15;13;14;8;16;19;12;15;15;23;16;10;12;13;22
6;10;15;10;15;12;13;15;11;16;19;13;16;12;21;17;10;13;11
7;7;10;15;11;16;13;13;15;9;16;21;12;14;14;22;17;12;12
8;14;8;11;16;11;17;13;15;14;9;16;19;12;15;17;21;20;10
9;19;14;8;12;17;12;20;13;14;14;9;16;17;10;16;16;22;18
10;12;19;11;8;12;18;11;20;13;17;15;11;13;17;10;16;20;21
11;9;12;18;14;7;12;20;11;19;13;16;16;8;12;16;10;16;19
12;8;10;12;18;14;9;13;20;10;20;13;16;13;8;12;17;11;14
13;11;9;10;16;19;14;9;12;21;9;19;13;14;12;8;11;17;11
14;13;11;9;10;14;18;13;9;12;21;8;20;12;13;12;8;11;17
15;7;13;10;9;8;13;18;12;9;12;21;8;19;12;15;14;8;12
16;10;7;13;11;9;8;13;18;13;9;14;21;8;18;12;15;16;9
17;9;10;7;13;10;9;8;12;18;13;10;14;21;9;20;11;16;14
18;17;8;10;10;14;9;9;9;11;18;14;10;13;20;10;19;11;15
19;8;18;8;10;9;13;12;10;10;11;18;14;9;12;22;12;21;12
20;10;6;20;10;8;10;13;13;11;11;12;17;13;10;13;21;12;18
21;12;10;8;19;9;11;13;14;12;12;10;12;16;15;9;12;22;11
22;15;12;10;9;19;10;11;11;14;13;11;13;13;16;14;11;20;22
23;9;12;14;10;7;18;12;12;10;15;11;11;13;14;15;15;11;13
24;14;10;12;14;10;12;20;9;13;12;18;14;11;15;14;14;18;9
