"Popolazione per età, vista per singola area - Comune: 109027 - Montottone"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Montottone"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7;5;5;11;8;7;5;6;6;6;9;5;7;10;5;7;8;4
1;9;6;5;7;11;8;7;5;6;6;5;8;5;8;11;5;7;7
2;10;8;7;5;7;9;11;7;7;6;6;6;9;5;6;11;5;7
3;10;11;8;7;5;6;6;12;7;6;5;6;6;8;5;7;11;5
4;5;10;12;8;7;5;6;6;11;7;6;6;6;7;8;6;6;10
5;11;5;11;12;7;6;5;6;6;8;7;6;7;7;6;8;3;6
6;7;11;6;12;12;7;6;5;7;5;7;7;6;7;5;6;9;2
7;10;7;13;6;12;12;7;5;5;7;5;8;8;7;6;5;6;9
8;3;12;8;12;7;11;12;8;5;6;8;5;7;8;6;6;5;6
9;10;4;12;8;13;7;11;11;8;5;6;9;5;7;7;6;5;5
10;13;10;4;13;9;12;7;10;12;9;5;6;9;5;6;7;6;5
11;16;13;10;4;13;9;12;7;12;12;9;6;6;8;4;6;7;5
12;10;16;13;10;3;12;8;12;6;8;12;9;6;6;8;5;6;7
13;11;11;15;13;10;3;12;8;12;6;8;12;9;6;6;8;5;6
14;4;12;11;16;13;9;2;12;8;12;6;8;13;9;5;6;8;5
15;7;4;12;12;16;13;9;2;12;8;11;6;8;13;9;5;6;6
16;14;7;4;12;11;16;14;10;2;12;9;11;6;8;12;8;4;6
17;7;14;9;4;12;12;16;12;10;2;12;9;11;6;8;12;8;4
18;7;6;14;10;5;12;8;16;13;10;2;11;10;11;6;8;12;8
19;8;7;6;15;10;4;12;8;16;13;10;2;11;9;11;6;8;11
20;10;8;7;8;14;9;5;12;8;14;13;11;2;11;9;10;6;9
21;12;11;8;7;8;16;11;4;12;9;14;15;12;3;9;9;9;6
22;10;12;13;10;7;8;14;12;4;12;9;14;16;12;3;10;9;8
23;18;8;13;13;9;8;8;14;12;4;11;11;13;16;11;2;10;9
24;17;19;9;12;13;9;8;9;14;12;4;12;10;12;17;10;1;10
25;14;14;22;10;11;11;10;8;10;15;11;6;11;11;13;17;9;1
26;14;14;15;22;11;9;11;9;8;10;13;12;6;12;11;14;15;9
27;10;15;14;13;20;10;8;10;8;6;11;15;12;6;10;10;15;15
28;15;9;18;11;14;19;8;10;9;10;8;13;16;12;7;12;8;15
29;10;15;14;17;10;15;18;10;11;9;10;10;10;17;12;8;13;10
30;9;11;16;14;18;13;17;17;12;11;9;9;11;10;14;12;8;12
31;8;9;12;17;19;17;13;17;19;10;10;9;8;10;10;15;11;8
32;16;10;10;13;15;20;15;11;14;15;9;10;9;10;10;10;11;8
33;11;17;9;9;12;11;18;14;10;13;14;9;10;9;10;13;9;11
34;5;11;15;10;7;12;14;14;14;10;11;17;8;10;8;9;11;8
35;16;8;11;16;12;7;11;13;12;16;10;11;15;7;9;9;8;9
36;18;16;9;10;14;12;9;11;13;11;19;10;11;16;6;8;9;10
37;12;16;16;10;9;14;12;11;10;14;11;19;9;10;14;6;8;9
38;21;12;15;20;10;10;16;12;13;12;13;15;21;10;10;15;6;8
39;9;21;12;15;20;10;10;17;12;17;11;14;15;19;11;9;15;6
40;11;9;19;12;15;18;8;8;17;12;16;12;16;16;18;11;9;13
41;8;11;9;21;11;17;17;5;8;17;11;15;11;14;15;19;11;10
42;14;8;10;9;20;11;16;17;5;8;17;13;14;11;12;15;20;10
43;18;15;7;11;10;18;11;16;17;6;8;18;13;16;11;13;14;20
44;18;18;17;7;11;10;18;11;16;17;6;6;19;12;15;11;12;13
45;17;17;18;17;7;12;8;18;11;17;18;5;6;18;11;13;10;12
46;11;17;17;19;19;8;12;9;19;10;17;18;6;7;18;11;13;10
47;7;11;17;17;19;19;9;12;9;19;10;16;19;8;7;18;12;13
48;17;8;11;17;17;19;19;10;13;10;20;10;16;19;7;8;18;10
49;10;15;8;13;19;15;19;19;11;13;10;19;10;16;19;9;8;18
50;15;10;15;8;13;20;16;19;19;11;13;10;17;10;17;19;8;8
51;16;15;10;16;8;13;20;16;19;20;11;13;9;14;10;18;16;6
52;16;17;17;10;15;8;16;19;17;18;20;11;13;11;14;10;16;17
53;16;16;17;17;10;15;10;16;20;16;17;20;11;11;12;15;10;16
54;11;15;16;17;18;10;15;11;16;20;16;17;20;12;11;12;14;11
55;14;11;16;15;17;16;10;14;10;15;20;16;17;20;13;10;13;14
56;14;13;11;14;15;17;17;10;14;10;14;20;16;16;20;11;10;13
57;13;14;13;11;14;15;17;17;9;15;10;13;20;17;16;20;10;11
58;10;13;16;13;11;14;15;17;18;10;15;9;14;19;17;17;20;10
59;9;10;14;15;12;11;14;15;14;17;10;15;10;14;19;18;17;18
60;11;8;11;14;15;12;11;16;15;14;17;10;15;10;13;19;18;17
61;10;11;10;11;14;14;12;11;15;13;14;18;10;15;10;12;19;18
62;16;9;11;10;11;14;13;12;12;17;13;15;19;9;14;9;13;19
63;13;16;11;11;10;11;14;12;12;12;17;13;15;19;9;14;9;14
64;11;14;16;11;11;8;11;14;12;12;12;17;14;15;18;8;14;9
65;11;11;14;16;11;11;8;11;14;12;12;12;18;14;15;17;8;16
66;18;12;11;12;16;11;11;8;10;14;12;11;12;18;14;15;17;8
67;11;17;12;11;12;14;12;11;8;9;13;12;11;12;18;14;15;17
68;16;10;16;11;11;12;16;11;11;8;9;13;12;11;11;18;13;15
69;11;16;10;16;11;11;12;16;11;11;7;9;13;11;11;12;17;13
70;14;12;16;10;18;11;11;15;16;11;11;7;10;13;12;11;12;15
71;13;13;12;17;10;18;11;11;16;17;11;11;6;10;13;12;12;12
72;16;12;12;11;17;10;17;12;11;14;16;11;11;6;10;13;12;12
73;16;17;12;12;12;17;10;17;11;11;15;16;10;10;5;10;13;12
74;12;16;17;12;12;12;17;9;16;10;11;15;15;10;9;5;8;13
75;10;13;15;17;12;12;13;16;10;17;11;11;15;14;10;8;5;8
76;13;10;12;16;17;12;12;12;16;11;17;10;11;14;14;10;8;4
77;8;13;10;13;16;15;14;13;11;15;10;15;9;11;14;14;9;8
78;18;9;13;10;13;15;16;14;13;9;15;10;15;9;11;14;14;9
79;15;17;8;13;11;12;15;16;14;13;8;15;9;14;9;11;12;14
80;16;14;16;10;13;11;11;15;15;14;11;9;12;9;14;9;11;11
81;10;15;12;16;11;12;11;10;10;14;12;10;10;12;9;14;9;12
82;7;9;13;12;14;11;12;11;10;10;14;12;10;9;11;9;14;8
83;5;7;9;12;11;14;11;10;11;10;10;13;10;10;6;10;7;14
84;2;4;6;9;12;10;11;9;9;11;10;10;10;11;10;5;9;7
85;5;1;4;6;9;12;10;9;9;9;11;10;10;10;11;9;5;7
86;5;5;1;4;5;8;9;8;9;9;8;11;10;11;11;10;8;5
87;5;5;5;1;3;4;6;9;8;8;9;7;10;10;10;9;9;7
