"Popolazione per età, vista per singola area - Comune: 110001 - Andria"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Andria"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1194;1255;1187;1151;1162;1052;1086;1083;1118;1077;1045;923;980;915;825;848;816;763
1;1243;1195;1253;1184;1155;1157;1052;1087;1083;1126;1070;1042;924;983;912;833;848;813
2;1286;1241;1200;1255;1188;1148;1165;1059;1081;1087;1120;1071;1032;926;974;916;823;844
3;1211;1291;1246;1199;1252;1186;1148;1169;1063;1083;1093;1123;1077;1030;922;974;908;826
4;1237;1208;1294;1246;1198;1246;1189;1144;1166;1076;1083;1088;1123;1069;1032;915;973;901
5;1182;1235;1208;1292;1244;1196;1245;1188;1139;1168;1083;1083;1081;1117;1063;1019;907;975
6;1194;1182;1237;1209;1294;1243;1204;1247;1186;1153;1162;1076;1083;1078;1112;1059;1017;906
7;1271;1196;1183;1239;1210;1293;1246;1208;1253;1190;1152;1164;1068;1081;1078;1111;1050;1014
8;1258;1270;1195;1187;1243;1203;1291;1250;1209;1261;1190;1149;1165;1068;1072;1073;1110;1045
9;1304;1261;1269;1199;1193;1244;1202;1296;1256;1210;1260;1190;1143;1161;1066;1060;1063;1100
10;1338;1303;1258;1272;1201;1192;1252;1202;1296;1262;1210;1254;1186;1142;1153;1063;1057;1060
11;1280;1341;1301;1257;1274;1207;1199;1249;1202;1301;1262;1209;1251;1189;1137;1157;1057;1056
12;1279;1276;1339;1302;1259;1273;1214;1208;1253;1210;1299;1257;1207;1252;1189;1135;1150;1051
13;1296;1287;1281;1341;1307;1254;1278;1215;1211;1263;1214;1298;1249;1204;1247;1185;1130;1146
14;1262;1296;1285;1281;1342;1308;1258;1282;1216;1218;1267;1205;1289;1248;1203;1241;1180;1132
15;1321;1263;1298;1285;1278;1341;1315;1263;1280;1218;1218;1260;1198;1285;1250;1203;1236;1173
16;1264;1320;1264;1302;1287;1272;1346;1322;1265;1288;1219;1219;1255;1197;1283;1249;1202;1234
17;1401;1263;1321;1270;1302;1286;1273;1346;1321;1268;1291;1215;1215;1257;1195;1282;1243;1202
18;1306;1404;1259;1324;1273;1306;1289;1276;1345;1328;1269;1293;1217;1225;1253;1198;1293;1239
19;1426;1305;1404;1255;1326;1277;1314;1288;1281;1355;1335;1270;1290;1216;1217;1251;1206;1300
