"Popolazione per età, vista per singola area - Comune: 111015 - Domus de Maria"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Domus de Maria"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;9;11;17;10;16;16;9;9;12;13;19;14;17;6;5;8;5;4
1;8;9;12;15;10;16;14;10;6;12;14;18;14;15;5;4;8;4
2;7;8;11;11;16;12;18;13;10;7;12;15;18;13;17;6;5;8
3;6;7;9;11;10;18;8;18;13;10;7;13;16;18;13;17;7;5
4;8;6;6;9;12;11;17;8;19;14;11;7;13;16;14;13;17;7
5;12;7;6;7;10;12;11;18;8;19;15;11;7;13;16;13;14;16
6;12;11;7;6;7;10;12;11;21;9;19;15;13;7;11;16;13;14
7;15;11;13;7;6;7;10;12;11;21;9;18;15;12;7;11;17;13
8;10;15;10;12;7;6;7;12;12;11;22;9;18;13;12;7;11;16
9;11;9;15;10;12;7;7;8;12;13;11;22;11;17;13;11;7;11
10;18;11;9;12;10;12;8;6;8;12;13;11;22;9;18;13;11;8
11;16;18;11;10;12;10;12;9;6;7;11;12;12;22;8;17;13;11
12;14;17;18;11;11;13;11;12;8;6;7;11;13;10;22;8;17;13
13;14;14;19;18;11;11;14;11;12;9;6;7;11;13;10;22;9;16
14;16;14;14;19;17;11;10;14;10;12;9;6;9;11;13;10;22;10
15;21;16;15;14;19;19;11;9;15;10;12;9;7;9;11;13;10;22
16;12;21;16;15;14;19;18;11;8;15;11;12;8;5;9;10;13;11
17;13;12;21;17;14;14;19;18;10;8;16;11;11;8;5;9;10;13
18;18;13;12;21;17;14;13;19;17;10;8;16;10;11;8;5;8;10
19;19;15;14;13;21;17;14;13;19;16;9;8;15;11;11;8;5;8
20;18;19;14;17;13;20;17;15;12;18;16;10;10;15;12;12;8;5
21;24;19;19;16;14;13;22;18;15;12;17;16;10;10;18;11;12;8
22;20;21;21;18;18;16;13;22;19;15;12;16;17;10;10;18;11;12
23;28;19;21;21;18;16;16;15;22;17;16;13;15;17;10;10;18;11
24;15;29;19;21;21;20;17;20;15;20;17;16;13;14;17;10;10;18
25;25;17;30;18;22;22;22;18;20;16;21;17;16;14;14;19;10;10
26;20;21;18;34;20;23;23;22;17;20;17;24;15;16;14;13;18;10
27;27;17;20;17;32;22;23;23;18;17;19;17;22;14;15;12;14;19
28;28;25;18;20;17;32;25;23;21;18;16;19;19;22;15;15;13;14
29;19;27;26;17;23;18;29;22;23;21;19;17;16;17;22;15;14;13
30;21;18;28;23;16;25;20;29;22;21;22;20;17;16;16;22;15;14
31;22;21;18;28;24;18;25;23;32;20;21;27;21;16;19;16;21;15
32;16;18;21;16;29;26;20;26;22;30;19;23;28;21;17;19;17;18
