"Popolazione per età, vista per singola area - Comune: 111047 - Nuraminis"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Nuraminis"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;28;12;14;15;14;16;15;15;13;16;16;8;18;18;19;18;17;12
1;19;25;13;15;14;13;18;18;15;14;17;19;9;19;15;17;19;15
2;21;15;26;12;14;11;15;18;18;16;15;19;20;9;17;13;15;17
3;15;20;14;26;12;15;12;15;20;17;16;15;20;21;10;16;15;15
4;19;14;20;14;26;12;15;12;15;18;17;15;16;19;21;10;16;16
5;30;18;12;20;14;27;13;16;13;16;19;17;15;17;18;21;10;16
6;15;29;17;12;20;13;28;13;17;13;19;19;18;15;16;18;21;10
7;20;13;27;18;12;19;14;28;12;17;13;17;20;19;16;16;18;20
8;26;18;11;26;18;13;18;14;27;12;15;12;17;20;19;16;16;19
9;16;27;18;12;26;20;13;18;16;29;12;16;12;17;20;18;18;16
10;35;16;27;18;12;26;20;13;18;16;30;11;16;12;17;19;18;18
11;34;35;17;27;17;15;25;21;13;18;16;30;11;16;12;16;17;17
12;29;33;35;18;26;18;15;26;21;13;18;15;30;11;16;12;16;17
13;33;30;32;36;16;27;18;15;23;22;14;18;16;30;11;16;12;16
14;36;34;30;32;35;16;28;19;15;22;21;13;18;16;30;11;15;12
15;37;36;32;31;31;38;17;28;19;15;22;21;13;18;16;30;13;15
16;36;35;35;32;31;31;38;17;26;19;15;22;21;13;18;17;29;13
17;34;34;35;35;32;30;31;38;15;26;20;15;23;21;14;18;16;29
18;36;35;32;34;35;32;32;30;38;15;26;20;15;21;22;14;18;16
19;36;36;33;33;34;37;31;32;30;38;14;26;19;15;20;21;14;18
20;27;34;36;33;34;34;37;31;28;31;38;14;24;18;15;21;20;15
21;42;25;34;33;33;34;34;37;32;28;32;38;14;24;18;15;21;20
22;39;42;25;34;33;30;34;34;39;31;27;33;36;14;24;17;14;21
23;39;36;40;26;34;32;30;34;36;38;32;26;34;37;15;24;17;14
24;42;38;35;40;23;34;30;29;34;35;38;32;26;35;34;14;23;16
25;40;38;37;37;40;23;36;31;28;34;35;38;31;28;33;33;15;23
26;43;36;38;36;37;41;22;37;32;29;33;36;38;32;25;31;36;15
27;38;40;35;36;36;35;35;20;40;31;29;37;34;39;32;20;31;33
28;41;40;37;39;35;33;33;36;22;35;31;30;39;33;40;27;21;29
29;43;41;40;40;35;33;36;30;34;22;34;30;30;36;32;40;25;18
30;29;39;37;40;39;35;36;34;34;35;24;35;30;30;34;31;37;26
31;35;30;39;36;40;37;32;38;35;34;34;23;35;29;33;29;30;32
32;37;32;29;39;35;38;38;32;37;37;35;31;23;34;31;30;28;28
33;35;33;33;28;42;35;39;38;31;32;37;37;32;23;38;32;30;29
34;39;32;38;35;26;40;33;35;38;32;30;38;39;36;20;37;32;29
35;41;34;32;37;37;28;41;38;36;35;31;31;39;38;39;20;38;28
36;49;41;36;33;35;40;27;40;37;37;37;33;30;41;39;39;21;38
37;55;48;40;34;32;34;42;27;41;35;38;37;36;28;41;37;43;20
38;43;52;48;39;35;30;35;42;27;40;36;42;38;39;27;39;38;41
39;55;37;52;47;41;35;30;37;40;27;40;36;44;38;38;27;41;36
40;47;53;37;50;47;40;35;29;37;40;28;39;36;41;37;36;27;41
41;55;44;50;37;50;47;40;38;29;40;41;27;38;37;40;36;35;26
42;49;54;44;51;38;50;46;41;37;32;40;42;27;38;36;39;36;36
43;43;47;52;45;52;36;50;45;41;38;30;40;42;27;35;36;38;36
44;35;40;44;52;45;52;38;51;46;43;37;29;41;42;27;35;38;35
45;36;35;38;46;49;46;51;41;49;46;42;38;28;40;42;28;36;36
46;38;34;34;37;45;49;47;52;41;49;46;42;36;29;40;41;27;36
47;43;35;34;33;37;45;49;47;53;42;49;45;42;36;29;40;40;26
48;35;38;36;34;36;37;45;49;48;53;41;49;43;41;36;29;39;40
49;37;33;38;36;35;38;38;45;50;48;54;43;49;42;41;34;31;38
50;37;36;33;36;36;37;38;39;46;50;47;55;41;49;43;41;33;32
51;41;36;36;35;38;38;41;38;39;46;51;47;54;42;48;42;43;32
52;42;40;36;35;35;39;38;37;38;38;46;50;47;55;42;48;43;43
53;38;41;41;35;37;35;41;38;37;39;37;46;50;46;56;42;48;43
54;41;37;41;39;34;38;32;41;38;36;40;38;44;50;44;56;42;50
55;29;40;35;40;39;34;38;31;42;37;36;40;38;44;52;44;56;41
56;34;27;39;35;39;39;34;38;32;42;36;37;40;38;44;52;47;54
57;33;34;27;39;34;40;39;36;37;33;43;35;35;39;39;43;53;46
58;31;34;33;27;39;36;41;39;36;37;33;44;35;35;39;39;43;54
59;35;28;34;32;27;40;36;41;37;36;37;33;43;36;34;40;39;44
60;28;34;28;34;30;28;39;38;41;37;36;37;33;43;37;35;40;39
61;35;28;35;28;34;30;28;39;40;41;36;35;36;34;43;36;34;41
62;24;35;28;34;29;34;29;28;37;40;40;36;36;37;34;42;36;34
63;28;24;33;28;33;29;33;31;29;37;39;42;36;36;36;34;43;36
64;33;29;24;32;28;32;29;33;30;28;36;38;41;36;36;34;34;43
65;23;31;28;26;32;28;32;30;31;30;28;35;37;42;34;35;36;34
66;32;24;28;28;26;31;29;32;28;31;28;28;35;38;42;33;36;35
