"Popolazione per età, vista per singola area - Comune: 111064 - San Nicolò Gerrei"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: San Nicolò Gerrei"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7;8;2;7;6;9;4;6;5;6;0;8;7;5;2;4;3;1
1;7;7;9;2;6;6;10;4;7;4;5;0;9;8;5;2;4;3
2;7;7;6;8;2;6;7;9;5;6;4;5;0;9;5;5;2;4
3;7;7;7;6;7;2;6;7;9;5;7;4;5;0;10;5;4;3
4;6;7;7;7;6;7;2;7;8;9;5;8;3;5;0;10;5;3
5;9;6;7;8;7;6;7;2;7;8;9;4;7;3;5;0;10;5
6;9;8;6;7;7;5;6;7;2;7;7;8;3;6;3;6;0;10
7;10;7;7;8;7;7;5;6;6;2;6;7;8;3;6;3;6;0
8;9;9;7;7;8;7;6;4;6;6;2;6;7;8;3;6;3;5
9;14;9;9;8;7;6;7;6;4;6;6;2;6;7;8;3;6;3
10;15;14;9;8;8;7;6;7;6;4;6;6;2;6;7;8;3;6
11;8;13;14;9;8;8;5;6;7;6;4;6;6;2;6;7;8;3
12;13;8;13;14;9;8;9;5;6;7;6;2;6;6;2;6;7;8
13;9;13;8;13;14;11;8;8;5;6;7;6;2;6;6;2;6;7
14;16;8;13;8;13;14;11;9;8;5;6;6;6;3;6;6;2;6
15;11;16;8;14;8;13;14;11;9;8;5;6;6;6;3;6;6;2
16;11;11;16;8;14;8;13;13;10;9;8;5;6;6;6;3;7;6
17;9;11;11;16;8;14;8;13;12;10;9;8;5;6;6;6;10;6
18;13;9;11;11;17;8;14;7;13;12;10;9;8;5;6;6;8;2
19;11;15;10;9;11;17;8;14;6;12;12;10;9;8;5;6;6;6
20;15;11;14;9;9;12;16;8;14;8;12;12;10;9;8;5;6;6
21;7;14;11;15;9;8;12;16;8;14;8;13;12;10;9;6;5;7
22;6;8;14;11;15;9;8;11;16;9;14;8;13;14;10;9;6;5
23;18;6;7;14;12;14;9;9;9;16;9;14;8;13;14;10;9;6
24;18;18;6;7;12;12;14;9;9;8;15;9;14;8;13;14;8;9
25;8;16;18;8;9;11;13;13;9;9;8;14;9;14;8;13;12;7
26;18;6;16;18;7;9;11;10;11;9;8;8;13;10;15;8;13;12
